j,mortality,lapse_up,lapse_down,mass,lapse,expense,cat,scr_life,valuation,product
1,14106329.018128883,322157.91545606847,3731981.5396211753,5876093.445198241,5876093.445198241,3360758.372509347,7263314.294954377,20634775.63186783,2025-12-31 basis_2022,LTA
2,13705856.307899209,201414.49751889674,4022724.29843002,4135543.7830550633,4135543.7830550633,3223482.5220785374,6794534.386382204,19196195.937611833,2025-12-31 basis_2022,LTA
3,13241424.938015817,138474.3485385608,3987115.429969798,2782898.3070743163,3987115.429969798,3083241.8674068046,6428842.803188749,18440877.16634966,2025-12-31 basis_2022,LTA
4,12749616.215104535,94809.18768638818,4256091.096423389,1741472.3371603657,4256091.096423389,2934668.471079052,6083309.992846462,17836363.780226395,2025-12-31 basis_2022,LTA
5,12222738.549341027,64289.66601094248,4099599.1043924,991897.3888054495,4099599.1043924,2777133.6394849555,5756589.480905054,17040656.551653612,2025-12-31 basis_2022,LTA
6,11653336.098969739,42733.72280393542,4189264.261505123,547227.2631085303,4189264.261505123,2610115.1196260694,5445536.24392105,16315696.278269166,2025-12-31 basis_2022,LTA
7,11038320.02513384,27779.504286037773,3844785.3825631966,348519.6368346432,3844785.3825631966,2434032.093794335,5156212.3100771615,15381010.488000559,2025-12-31 basis_2022,LTA
8,10358931.471654285,17510.068919127483,3381868.2781148204,226556.63991444735,3381868.2781148204,2246221.6117442297,4880019.329416187,14347255.2981034,2025-12-31 basis_2022,LTA
9,9612668.43779757,10610.911695328394,2869219.2701557446,145947.97050400803,2869219.2701557446,2047391.212012351,4616740.872713488,13243705.654284315,2025-12-31 basis_2022,LTA
10,8795281.99772315,6126.374867013928,2336184.145477739,91458.64628378108,2336184.145477739,1837907.436108863,4373593.597665785,12085466.412788643,2025-12-31 basis_2022,LTA
11,7885166.94949001,3322.4844737752132,1802626.5351657162,55327.47622674743,1802626.5351657162,1615059.8923319227,4140900.341898398,10856410.42474883,2025-12-31 basis_2022,LTA
12,6879001.264493825,1672.3367329941934,1293928.9251569507,31686.607684350984,1293928.9251569507,1379631.4477967604,3917242.4772709874,9564691.338331616,2025-12-31 basis_2022,LTA
13,5773400.174781136,756.1021884719546,834185.7465771517,16856.627255945743,834185.7465771517,1132339.8467049305,3715198.158244841,8228237.514528164,2025-12-31 basis_2022,LTA
14,4540939.113759008,281.9710469904883,446320.912139052,8217.515812882044,446320.912139052,870264.2217014071,3524103.2173699867,6832391.913537335,2025-12-31 basis_2022,LTA
15,3173140.5670130323,68.35379245129627,158597.21050319402,3502.106661613624,158597.21050319402,593821.731063403,3341043.9685226334,5404000.834843065,2025-12-31 basis_2022,LTA
16,1663378.8900008178,0.0,0.0,1075.5890115431123,1075.5890115431123,303706.6241623349,3167753.202912849,4032861.159664691,2025-12-31 basis_2022,LTA
0,7956520.657544984,2362155.3637413015,9839.485774831044,7173950.528983649,7173950.528983649,3441539.8779666442,7929770.19329476,17364155.824433085,2025-12-31 basis_2022,MP
1,7503285.871233994,1938951.727493254,65468.57104090757,5824221.238635763,5824221.238635763,3310286.7136619673,7045066.993678999,15527970.278786216,2025-12-31 basis_2022,MP
2,6990054.173461004,1641384.2049335917,59790.05152351068,4933839.560451559,4933839.560451559,3175115.576723082,6295779.583013989,14043307.042717902,2025-12-31 basis_2022,MP
3,6430475.331830033,1435224.2130188032,42346.35578738892,4317106.071642093,4317106.071642093,3037026.0946365865,5666130.131030461,12776759.777730148,2025-12-31 basis_2022,MP
4,5870115.858674195,1253113.7372588613,24479.367595696356,3805607.4850652046,3805607.4850652046,2890728.54776107,5074573.3957605725,11593905.311784273,2025-12-31 basis_2022,MP
5,5308476.50095843,1091938.7946449146,11894.030595812766,3381989.007350875,3381989.007350875,2735602.835861754,4518711.140343997,10480854.794123838,2025-12-31 basis_2022,MP
6,4746220.1982718175,948359.5769085935,4859.762816646963,3032679.7558730254,3032679.7558730254,2571133.5602572835,3994963.16719316,9426941.190790053,2025-12-31 basis_2022,MP
7,4186914.1396322013,820731.6716342429,1707.5589618278998,2746872.5212406265,2746872.5212406265,2397732.508999009,3506505.223264302,8431286.064172493,2025-12-31 basis_2022,MP
8,3629053.079361001,705086.7543192771,578.8729749542694,2513355.048694581,2513355.048694581,2212775.1742943292,3045939.123488447,7480803.282930474,2025-12-31 basis_2022,MP
9,3079127.2370699444,600067.5240930468,240.2103626970271,2324637.22565106,2324637.22565106,2016956.989220583,2612407.723225028,6577587.2703134995,2025-12-31 basis_2022,MP
10,2544094.6619618475,524725.1702242648,109.22994825095999,2181339.4438218153,2181339.4438218153,1810637.2708469133,2208725.990670744,5732238.9530592,2025-12-31 basis_2022,MP
11,2027196.257971046,440834.5526215136,59.46840086110689,2100935.1989334836,2100935.1989334836,1591143.858403526,1828378.2141388082,4958056.9602031745,2025-12-31 basis_2022,MP
12,1539435.4253673884,336584.4485330811,32.56425635656171,2026066.0957151128,2026066.0957151128,1359245.5998305506,1470292.8721677633,4231392.456140835,2025-12-31 basis_2022,MP
13,1093271.6469516724,230331.63050055117,16.014247609381776,1901957.3195004181,1901957.3195004181,1115646.8639507827,1137952.7364421252,3524634.0740411896,2025-12-31 basis_2022,MP
14,698240.1051886247,131374.60562835165,6.5482741945497835,1684352.8534108289,1684352.8534108289,857466.9491844191,825784.1804209164,2796995.491157877,2025-12-31 basis_2022,MP
15,371065.60548400285,49930.565078589534,1.8026154415313516,1328678.329279238,1328678.329279238,585113.2932978685,532372.6224333253,2005750.9169334678,2025-12-31 basis_2022,MP
16,131165.97614565538,0.0,0.0,785693.9785459006,785693.9785459006,299265.8573517686,257484.34126569546,1096221.9614015701,2025-12-31 basis_2022,MP
0,22387904.857722532,2994480.6388813434,898752.5614964968,15602180.699414004,15602180.699414004,6935594.6278548185,15769134.22392442,39767839.405108996,2025-12-31 basis_2022,Total
1,21609614.889363006,2261109.6429493353,3797450.11066208,11700314.68383387,11700314.68383387,6671045.086170841,14308381.288633332,35906401.048528545,2025-12-31 basis_2022,Total
2,20695910.48136019,1842798.7024524894,4082514.349953527,9069383.343506623,9069383.343506623,6398598.098801449,13090313.969396189,32921344.108312618,2025-12-31 basis_2022,Total
3,19671900.26984578,1573698.5615573653,4029461.7857571845,7100004.378716378,7100004.378716378,6120267.96204275,12094972.934219217,30392553.71245001,2025-12-31 basis_2022,Total
4,18619732.073778972,1347922.92494525,4280570.464019085,5547079.822225512,5547079.822225512,5825397.0188400345,11157883.38860704,28102856.120514907,2025-12-31 basis_2022,Total
5,17531215.050299346,1156228.4606558515,4111493.1349882144,4373886.396156336,4373886.396156336,5512736.475346889,10275300.621249093,25995081.85355781,2025-12-31 basis_2022,Total
6,16399556.297241483,991093.2997125277,4194124.024321769,3579907.01898155,4194124.024321769,5181248.679883317,9440499.41111425,24256637.862527903,2025-12-31 basis_2022,Total
7,15225234.164766055,848511.1759202783,3846492.941525023,3095392.158075269,3846492.941525023,4831764.602793473,8662717.53334149,22447588.02458854,2025-12-31 basis_2022,Total
8,13987984.551015312,722596.8232384049,3382447.1510897726,2739911.688609028,3382447.1510897726,4458996.786038717,7925958.4529045895,20556901.80795722,2025-12-31 basis_2022,Total
9,12691795.674867598,610678.4357883751,2869459.4805184426,2470585.196155073,2869459.4805184426,4064348.201233155,7229148.595938506,18614177.749765545,2025-12-31 basis_2022,Total
10,11339376.659685047,530851.5450912784,2336293.3754259897,2272798.0901056007,2336293.3754259897,3648544.706955268,6582319.588336609,16640477.174867464,2025-12-31 basis_2022,Total
11,9912363.207461007,444157.0370952877,1802686.0035665766,2156262.6751602283,2156262.6751602283,3206203.75073524,5969278.556037213,14738054.283532254,2025-12-31 basis_2022,Total
12,8418436.689861203,338256.7852660753,1293961.489413307,2057752.7033994661,2057752.7033994661,2738877.0476273377,5387535.349438734,12821629.735457577,2025-12-31 basis_2022,Total
13,6866671.821732873,231087.73268902308,834201.7608247611,1918813.9467563636,1918813.9467563636,2247986.710655505,4853150.894686978,10874036.136492157,2025-12-31 basis_2022,Total
14,5239179.218947645,131656.5766753422,446327.4604132467,1692570.3692237088,1692570.3692237088,1727731.1708859236,4349887.397790914,8860276.80363309,2025-12-31 basis_2022,Total
15,3544206.1724970327,49998.91887104084,158599.01311863554,1332180.4359408505,1332180.4359408505,1178935.0243612712,3873416.590955942,6790912.029596174,2025-12-31 basis_2022,Total
16,1794544.8661464723,0.0,0.0,786769.5675574443,786769.5675574443,602972.4815141005,3425237.5441785357,4733299.71662217,2025-12-31 basis_2022,Total
0,13577743.854485665,535018.6572211395,2168684.0498000123,7289059.500008486,7289059.500008486,3341751.361585541,7835210.295999257,21258594.59641084,2025-12-31 basis_2025,LTA
1,13209951.696646243,270862.46693761233,4787222.489972304,4949004.471459308,4949004.471459308,3195417.1710772975,7146910.482347793,19326488.917161558,2025-12-31 basis_2025,LTA
2,12772184.736973166,165922.58527585745,4933306.490733029,3335453.138443512,4933306.490733029,3047673.088286212,6597639.422338717,18526795.402354248,2025-12-31 basis_2025,LTA
3,12275838.310436461,111385.26260451351,4931383.84351575,2100906.996105424,4931383.84351575,2898988.2290857374,6174701.533018774,17768244.925864067,2025-12-31 basis_2025,LTA
4,11758634.22065664,74484.89094488883,5155451.499020629,1236471.20076495,5155451.499020629,2743826.383004087,5779258.879817487,17112981.80019173,2025-12-31 basis_2025,LTA
5,11213924.292001216,48916.79753143233,5133094.194641907,622228.1778632557,5133094.194641907,2581807.410311098,5409302.247937676,16338655.441508017,2025-12-31 basis_2025,LTA
6,10635429.599541256,31597.739412083036,5017261.162840451,362057.940958749,5017261.162840451,2412648.0165670672,5061219.897052973,15503969.650901873,2025-12-31 basis_2025,LTA
7,10021008.037154125,19856.229675413964,4519901.611056631,227975.5118966052,4519901.611056631,2236927.6542834574,4740008.7019490395,14470798.726943543,2025-12-31 basis_2025,LTA
8,9354375.26406525,12055.818913021647,3930860.275858822,144441.65553066536,3930860.275858822,2052392.7687367587,4437100.898972553,13362281.878909588,2025-12-31 basis_2025,LTA
9,8634239.231016278,6995.116828225878,3301122.722117011,89690.4635833518,3301122.722117011,1859884.0999296724,4151824.012562123,12204551.385678679,2025-12-31 basis_2025,LTA
10,7857816.222489897,3892.310090814462,2662760.7285159924,54187.91765232102,2662760.7285159924,1659913.7419976243,3890139.4033471188,11016241.363568315,2025-12-31 basis_2025,LTA
11,7006913.956338579,2055.448575837983,2036696.531404474,31225.086491225058,2036696.531404474,1450216.0727771218,3642871.6314611165,9786054.748479858,2025-12-31 basis_2025,LTA
12,6079932.9269978935,1003.5745780442699,1449532.932269232,16893.48597701984,1449532.932269232,1231677.2531130216,3408417.392771162,8524171.435613928,2025-12-31 basis_2025,LTA
13,5075299.658881564,436.71769184017325,926812.5314988818,8606.899353459656,926812.5314988818,1005104.554815445,3197287.026998866,7248083.615099362,2025-12-31 basis_2025,LTA
14,3970378.7531130635,152.97284606950362,491857.47003305075,4033.457611034913,491857.47003305075,768074.2367561759,2999737.1571295937,5944873.96334702,2025-12-31 basis_2025,LTA
15,2759509.8634127,35.794251561880266,173386.05656748498,1612.50784995174,173386.05656748498,521127.06979413115,2812960.202272216,4636450.619763365,2025-12-31 basis_2025,LTA
16,1438774.5747156828,0.0,0.0,461.9826738472418,461.9826738472418,265030.2959358548,2638133.844031439,3396893.820041961,2025-12-31 basis_2025,LTA
0,7686859.732760902,2146350.143612102,176574.10125504018,5737544.485238931,5737544.485238931,3291545.606309592,7924509.844122929,16229862.184220603,2025-12-31 basis_2025,MP
1,7203592.593294425,1742823.6607470477,236819.9340910093,4602685.814418803,4602685.814418803,3147452.8197009703,6930961.477463432,14445284.251484282,2025-12-31 basis_2025,MP
2,6667743.794214527,1464888.1984593582,197204.66528195675,3839639.0483816327,3839639.0483816327,3001972.2994036432,6112095.015478332,12976559.28019687,2025-12-31 basis_2025,MP
3,6092891.686799565,1276024.7607958796,154345.95394781293,3317854.3388374373,3317854.3388374373,2855566.358334271,5440899.250349513,11723169.231146773,2025-12-31 basis_2025,MP
4,5524443.72803401,1111980.2871143983,109915.45828455278,2890115.0264173998,2890115.0264173998,2702779.5025831074,4819755.296420794,10558207.555711335,2025-12-31 basis_2025,MP
5,4961950.8827312505,969188.1900012096,67793.41340539925,2541586.5804430624,2541586.5804430624,2543236.423251166,4245014.533403026,9469251.926875055,2025-12-31 basis_2025,MP
6,4406058.44779794,843035.4048727851,31964.34319159817,2260199.6944387313,2260199.6944387313,2376657.0849904977,3712054.899365571,8446370.090002086,2025-12-31 basis_2025,MP
7,3860085.999612593,730703.4524788556,11559.32392309978,2035629.8035905713,2035629.8035905713,2203611.1695412947,3222637.700352486,7488307.39654611,2025-12-31 basis_2025,MP
8,3322588.9056649352,628174.0329890883,3457.1944736252394,1857111.0589690655,1857111.0589690655,2021877.448526702,2768803.6624425137,6582277.901832597,2025-12-31 basis_2025,MP
9,2799444.108604883,534639.4129945331,1081.6228278067954,1716073.4592797393,1716073.4592797393,1832282.6616427293,2348792.950330831,5728851.178194391,2025-12-31 basis_2025,MP
10,2296792.3992494764,449715.62947802554,436.8930943068234,1605215.1258968404,1605215.1258968404,1635329.6422306222,1964166.9531912701,4932080.224879979,2025-12-31 basis_2025,MP
11,1817236.2529503927,390764.1869107117,209.124994932208,1529293.1722240732,1529293.1722240732,1428784.4986297062,1608185.213856355,4194259.711289581,2025-12-31 basis_2025,MP
12,1370214.2444057784,314544.40176307247,109.23159038636004,1500696.5099066652,1500696.5099066652,1213518.0993364614,1279113.3620589569,3535968.084066164,2025-12-31 basis_2025,MP
13,966178.7089416255,219335.81867982403,53.50525102135727,1444942.5157341934,1444942.5157341934,990323.3548840615,979194.2795238873,2921580.8191637606,2025-12-31 basis_2025,MP
14,612673.4730526656,126632.04143120658,22.228051622468932,1307265.321369044,1307265.321369044,756809.6455729536,702842.987678251,2304976.5827320972,2025-12-31 basis_2025,MP
15,323270.27491228597,48601.8660775377,6.128309260979334,1048270.6744570703,1048270.6744570703,513506.71997449774,448197.8464309726,1646717.1756061607,2025-12-31 basis_2025,MP
16,113458.11324808112,0.0,0.0,627293.2101511903,627293.2101511903,261167.12197725437,214444.33184117047,898129.2471551015,2025-12-31 basis_2025,MP
0,21264603.58724685,2681368.800833268,2345258.151055057,13026603.985247558,13026603.985247558,6633296.967895083,15759720.140122224,37331770.676623814,2025-12-31 basis_2025,Total
1,20413544.28994045,2013686.1276846575,5024042.424063307,9551690.285878073,9551690.285878073,6342869.990778447,14077871.959811177,33574720.228826895,2025-12-31 basis_2025,Total
2,19439928.53118759,1630810.783735219,5130511.156014987,7175092.186825101,7175092.186825101,6049645.38769052,12709734.43781705,30615633.982944574,2025-12-31 basis_2025,Total
3,18368729.997235958,1387410.0234003987,5085729.797463563,5418761.334942909,5418761.334942909,5754554.587419847,11615600.783368228,28114392.927308027,2025-12-31 basis_2025,Total
4,17283077.948690694,1186465.1780592836,5265366.957305178,4126586.2271823725,5265366.957305178,5446605.885587197,10599014.176238371,26316133.750163626,2025-12-31 basis_2025,Total
5,16175875.174732357,1018104.9875326414,5200887.608047302,3163814.758306299,5200887.608047302,5125043.833562273,9654316.781340702,24580771.065804925,2025-12-31 basis_2025,Total
6,15041488.047339296,874633.1442848671,5049225.506032058,2622257.635397469,5049225.506032058,4789305.101557568,8773274.79641853,22825202.61450427,2025-12-31 basis_2025,Total
7,13881094.036766674,750559.682154269,4531460.934979724,2263605.3154871766,4531460.934979724,4440538.823824865,7962646.402301515,20934862.834212847,2025-12-31 basis_2025,Total
8,12676964.16973024,640229.8519021105,3934317.470332451,2001552.7144997236,3934317.470332451,4074270.217263268,7205904.561414992,19002426.960448757,2025-12-31 basis_2025,Total
9,11433683.339621132,541634.5298227596,3302204.344944817,1805763.9228630904,3302204.344944817,3692166.7615732276,6500616.962893006,17050526.91618778,2025-12-31 basis_2025,Total
10,10154608.621739356,453607.93956884014,2663197.6216102988,1659403.043549161,2663197.6216102988,3295243.384228321,5854306.356538432,15100080.527021918,2025-12-31 basis_2025,Total
11,8824150.209288971,392819.63548654976,2036905.6563994065,1560518.2587152934,2036905.6563994065,2879000.5714067556,5251056.84531752,13134625.303092897,2025-12-31 basis_2025,Total
12,7450147.171403717,315547.97634111677,1449642.1638596174,1517589.995883685,1517589.995883685,2445195.352449503,4687530.754830103,11195010.93697468,2025-12-31 basis_2025,Total
13,6041478.367823166,219772.53637166414,926866.0367499031,1453549.4150876536,1453549.4150876536,1995427.9096994284,4176481.3065227563,9422498.13793009,2025-12-31 basis_2025,Total
14,4583052.226165711,126785.01427727606,491879.69808467326,1311298.7789800793,1311298.7789800793,1524883.8823291177,3702580.1448078607,7614938.494801238,2025-12-31 basis_2025,Total
15,3082780.1383250146,48637.660329099555,173392.1848767459,1049883.1823070215,1049883.1823070215,1034633.7897685557,3261158.048703187,5780840.087790039,2025-12-31 basis_2025,Total
16,1552232.6879637463,0.0,0.0,627755.1928250374,627755.1928250374,526197.4179131299,2852578.1758726,3976946.694514117,2025-12-31 basis_2025,Total
